Id,File_name,Country,City,Address,Lat,Long,Streetview,Lat_decimal,Long_decimal,Text,Color,Background_color,Weight,Case,Composition,Image,@img
1,britannic01,Italy,Milano,Foro Buonaparte,"45° 28' 9.6"" N","9° 11' 1.2"" E",https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sit!4v1435658391250!6m8!1m7!1sYKEU79tgA5C_2uYmwXAepA!2m2!1d45.469573!2d9.183297!3f103.55!4f-1.2800000000000011!5f1.9587109090973311,45.469294,9.183656,affittasi uffici,#ed1c24,#ffcb05,,,,https://images.unsplash.com/photo-1726059968922-0396248fdaea?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,britannic_001.jpg
2,britannic02,Italy,Milano,via della Moscova,"45°28'41.6""N","9°10'56.0""E",https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sit!4v1435658361515!6m8!1m7!1sDDuNv1gSxs3OnNXu2ejpow!2m2!1d45.478244!2d9.182589!3f15.273635438574031!4f-2.1514759864659965!5f0.4000000000000002,45.478218,9.182228,Bar Granny,#f47929,#ffffff,,,,https://images.unsplash.com/photo-1725652800358-ae3a752cfb68?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxmZWF0dXJlZC1waG90b3MtZmVlZHwxMnx8fGVufDB8fHx8fA%3D%3D,britannic_002.jpg
3,britannic03,Italy,Milano,via Piero della Francesca,"45° 28' 54.432"" N","9° 10' 3.138"" E",https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sit!4v1435658319045!6m8!1m7!1spGOUqqeclwDeFq-XsnZ99w!2m2!1d45.482028!2d9.167666!3f213.55327220782664!4f-1.2931506786393214!5f0.4000000000000002,45.481889,9.168056,vendita,#000000,#ffffff,,,,https://plus.unsplash.com/premium_photo-1725588379392-7a56d6eff9ab?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxmZWF0dXJlZC1waG90b3MtZmVlZHwxOXx8fGVufDB8fHx8fA%3D%3D,britannic_003.jpg
4,britannic04,Italy,Milano,via Procaccini,"45° 28' 54.858"" N","9° 10' 5.07"" E",https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sit!4v1435658291134!6m8!1m7!1sCp72TyIrHiaoqaLazmC7qg!2m2!1d45.481936!2d9.167823!3f66.80116071915906!4f0.06341223277554775!5f0.7820865974627469,45.481889,9.168056,Edilizia,#ffcb05,#034ea2,bold,uppercase,horizontal,https://images.unsplash.com/photo-1720802616209-c174c23f6565?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxmZWF0dXJlZC1waG90b3MtZmVlZHwzMHx8fGVufDB8fHx8fA%3D%3D,britannic_004.jpg
5,britannic05,Italy,Bologna,via Mascarella,"44° 30' 23.4"" N","11° 22' 39.6"" E",https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sit!4v1435658240070!6m8!1m7!1sIwAlfqJ2nDyLvchobyNWtQ!2m2!1d44.498799!2d11.349564!3f306.3047340463532!4f2.0705824391074117!5f0.7820865974627469,44.498816,11.34958,Il giardino dell'eden,#ffcb05,#034ea2,bold,lowercase,horizontal,https://images.unsplash.com/photo-1726041453467-5fa7dce0251d?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxmZWF0dXJlZC1waG90b3MtZmVlZHw1Mnx8fGVufDB8fHx8fA%3D%3D,britannic_005.jpg
6,britannic06,Italy,Milano,via Meda,"45° 26' 30"" N","9° 10' 42"" E",https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sit!4v1435658175134!6m8!1m7!1sUPkt30FmqOfE4BFBkdrGPw!2m2!1d45.44191!2d9.178827!3f267.53397748906843!4f0.9997451349213691!5f0.7756892346044617,45.441667,9.178306,Tenere,#000000,#ffffff,bold,uppercase,horizontal,https://images.unsplash.com/photo-1726056652663-8f1e42b2fc95?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxmZWF0dXJlZC1waG90b3MtZmVlZHw1OHx8fGVufDB8fHx8fA%3D%3D,britannic_006.jpg
7,britannic07,Italy,Milano,via Cola Montano,"45°29'16.8""N","9°11'08.0""E",https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sit!4v1435658123564!6m8!1m7!1si6kAdEqjNHy-Iil6O02M5Q!2m2!1d45.486703!2d9.18584!3f34.21631020467466!4f-0.4824963926167669!5f0.7820865974627469,45.488,9.185556,Si prega di non buttare le salviette asciugamani nella tazza del water.,#000000,#ffffff,bold,uppercase,horizontal,https://images.unsplash.com/photo-1674407729043-c21b71fded37?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHx0b3BpYy1mZWVkfDYwfDZzTVZqVExTa2VRfHxlbnwwfHx8fHw%3D,britannic_007.jpg
8,britannic08,Italy,Milano,Corso Buenos Aires,"45° 28' 42.408"" N","9° 12' 32.13"" E",https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sit!4v1435658092651!6m8!1m7!1s1_VkrzSQsNvDHExMSMvI2g!2m2!1d45.478093!2d9.208674!3f124.99830594898549!4f-4.359999999999999!5f2.299968626952992,45.478444,9.208917,Calzature uomo donna,#ffcb05,,bold,uppercase,vertical,https://images.unsplash.com/photo-1725489891089-5960671a3433?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHx0b3BpYy1mZWVkfDk4fDZzTVZqVExTa2VRfHxlbnwwfHx8fHw%3D,britannic_008.jpg
9,britannic09,Belgium,Bruxelles,Rue du Marché au Charbon,"50° 50' 44.898"" N","4° 20' 53.988"" E",https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sit!4v1435658070806!6m8!1m7!1sSuw3WelsxjuXTNmgQZqJSg!2m2!1d50.845839!2d4.348272!3f127.45!4f-2.2900000000000063!5f0.7820865974627469,50.845778,4.348306,New Collection,#000000,#ffffff,ultra,uppercase,horizontal,https://images.unsplash.com/photo-1725476479171-4728f92dfa9c?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHx0b3BpYy1mZWVkfDEwNHw2c01WalRMU2tlUXx8ZW58MHx8fHx8,britannic_009.jpg
10,britannic10,Belgium,Bruxelles,Rue Sainte Catherine,"50° 50' 58.722"" N","4° 20' 55.518"" E",https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sit!4v1435658049836!6m8!1m7!1sBjN-RVHk9CvfMRNv9CBZ2g!2m2!1d50.849572!2d4.34875!3f17.76!4f-2.219999999999999!5f0.4000000000000002,50.849639,4.34875,Supermarket,#034ea2,#00b37d,bold,uppercase,vertical,https://images.unsplash.com/photo-1682686580036-b5e25932ce9a?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHx0b3BpYy1mZWVkfDEzNnw2c01WalRMU2tlUXx8ZW58MHx8fHx8,britannic_010.jpg
